#{"t_start": 1709585798.8544502, "env_id": "FrozenLake-v1"}
r,l,t
0.0,5,0.158904
0.0,11,0.176053
0.0,2,0.177978
0.0,2,0.179819
0.0,9,0.18784
0.0,2,0.190283
0.0,3,0.191483
0.0,12,0.201531
0.0,10,0.208783
0.0,7,0.212881
0.0,6,0.217886
0.0,15,0.229607
0.0,8,0.236184
0.0,8,0.241377
0.0,10,0.248815
0.0,3,0.252037
0.0,4,0.255591
0.0,6,0.259602
0.0,7,0.263907
0.0,6,0.270137
0.0,6,0.274245
0.0,18,0.286568
0.0,4,0.290105
0.0,11,0.298086
0.0,2,0.300736
0.0,12,0.309312
0.0,19,0.325112
0.0,10,0.332907
0.0,6,0.337131
0.0,7,0.343361
0.0,6,0.347466
0.0,3,0.348629
0.0,12,0.358593
0.0,4,0.361997
0.0,18,0.374131
0.0,3,0.376971
0.0,13,0.385934
0.0,4,0.389466
0.0,13,0.40009
0.0,8,0.405354
0.0,12,0.415638
0.0,13,0.42449
0.0,4,0.42788
0.0,9,0.434978
0.0,2,0.435843
0.0,7,0.442138
0.0,2,0.442937
0.0,2,0.445545
0.0,7,0.450166
0.0,5,0.45388
0.0,2,0.454638
0.0,29,0.477509
0.0,3,0.480483
0.0,3,0.48173
0.0,13,0.492317
0.0,2,0.493083
0.0,18,0.508171
0.0,19,0.522583
0.0,2,0.523404
0.0,20,0.538514
0.0,9,0.546413
0.0,12,0.55634
0.0,5,0.560298
0.0,12,0.571218
0.0,10,0.578928
0.0,13,0.58756
0.0,4,0.590981
0.0,7,0.597327
0.0,5,0.601079
0.0,5,0.604948
0.0,7,0.609613
0.0,3,0.612555
0.0,2,0.613469
0.0,2,0.614329
0.0,13,0.624924
0.0,2,0.625776
0.0,8,0.632538
0.0,4,0.635968
0.0,6,0.640124
0.0,16,0.651892
0.0,3,0.654868
0.0,4,0.658517
0.0,4,0.660258
0.0,6,0.6661
0.0,15,0.677264
0.0,6,0.681424
0.0,12,0.689716
0.0,3,0.69282
0.0,5,0.696618
0.0,15,0.707991
0.0,3,0.709274
0.0,10,0.716505
0.0,3,0.71958
0.0,12,0.728292
0.0,9,0.735299
0.0,7,0.7414
0.0,8,0.746505
0.0,3,0.749478
0.0,4,0.75278
0.0,2,0.753614
0.0,34,0.779367
0.0,2,0.780241
0.0,9,0.787371
0.0,10,0.794865
0.0,5,0.798428
0.0,7,0.802918
0.0,11,0.813132
0.0,7,0.817812
0.0,4,0.821169
0.0,2,0.821957
0.0,45,0.856041
0.0,11,0.86344
0.0,3,0.866765
0.0,3,0.870319
0.0,15,0.881242
0.0,16,0.893002
0.0,10,0.901405
0.0,8,0.906116
0.0,14,0.917369
0.0,2,0.919803
0.0,3,0.920955
0.0,17,0.934772
0.0,7,0.939262
0.0,5,0.943771
0.0,5,0.947619
0.0,13,0.959379
0.0,20,0.975243
0.0,2,0.976123
0.0,7,0.980625
0.0,4,0.984001
0.0,13,0.99455
0.0,6,0.998789
0.0,3,1.002208
0.0,5,1.006414
0.0,6,1.01081
0.0,14,1.021806
0.0,2,1.022685
0.0,3,1.025689
0.0,2,1.026588
0.0,5,1.030324
0.0,13,1.040784
0.0,10,1.04836
0.0,23,1.064684
0.0,27,1.087595
0.0,26,1.10671
0.0,10,1.114237
0.0,25,1.133864
0.0,9,1.141089
0.0,3,1.142305
0.0,6,1.146713
0.0,4,1.150401
0.0,4,1.153797
0.0,6,1.157877
0.0,6,1.162155
0.0,7,1.168613
0.0,7,1.173337
0.0,2,1.175926
0.0,2,1.176833
0.0,17,1.189167
0.0,2,1.191674
0.0,14,1.202698
0.0,3,1.204011
0.0,6,1.208465
0.0,8,1.215619
0.0,14,1.22673
0.0,3,1.227883
0.0,3,1.231315
0.0,4,1.234631
0.0,8,1.239511
0.0,8,1.24629
0.0,5,1.249999
0.0,10,1.257586
0.0,15,1.268865
0.0,4,1.272366
0.0,4,1.275797
0.0,8,1.280818
0.0,5,1.284669
0.0,5,1.288564
0.0,8,1.295501
0.0,2,1.296337
0.0,6,1.300499
0.0,6,1.306463
0.0,4,1.30822
0.0,24,1.32705
0.0,3,1.331214
0.0,4,1.335107
0.0,12,1.343581
0.0,4,1.347053
0.0,2,1.347861
0.0,6,1.352125
0.0,11,1.36188
0.0,12,1.370487
0.0,13,1.38112
0.0,27,1.401146
0.0,6,1.405354
0.0,4,1.408873
0.0,3,1.411863
0.0,17,1.424125
0.0,5,1.427849
0.0,6,1.43194
0.0,16,1.443403
0.0,2,1.445955
0.0,2,1.446734
0.0,3,1.449711
0.0,8,1.454734
0.0,9,1.462377
0.0,13,1.472615
0.0,11,1.48052
0.0,4,1.484433
0.0,7,1.489048
0.0,4,1.492458
0.0,10,1.49989
0.0,4,1.503113
0.0,7,1.507628
0.0,7,1.513921
0.0,6,1.518166
0.0,3,1.519337
0.0,13,1.529496
0.0,3,1.532338
0.0,7,1.536811
0.0,6,1.541345
0.0,21,1.556585
0.0,8,1.563383
0.0,3,1.566414
0.0,2,1.567289
0.0,8,1.574042
0.0,4,1.575714
1.0,10,1.583133
0.0,11,1.593503
0.0,9,1.598752
0.0,13,1.609084
0.0,6,1.61331
0.0,12,1.623876
0.0,2,1.624718
0.0,2,1.625471
0.0,13,1.636103
0.0,3,1.639032
1.0,11,1.647354
0.0,6,1.652044
0.0,2,1.652858
0.0,9,1.659926
0.0,27,1.681347
0.0,6,1.685643
0.0,20,1.701347
0.0,11,1.71041
0.0,10,1.719803
0.0,16,1.731481
0.0,6,1.735902
1.0,14,1.746874
0.0,7,1.753162
0.0,11,1.761085
0.0,5,1.765007
0.0,9,1.772176
0.0,7,1.777011
0.0,3,1.779949
0.0,5,1.783684
0.0,11,1.791619
0.0,9,1.798745
0.0,3,1.80004
0.0,21,1.815685
0.0,6,1.821651
0.0,9,1.827065
0.0,11,1.836779
0.0,5,1.84052
0.0,6,1.844739
0.0,2,1.845534
0.0,3,1.848502
0.0,3,1.849748
0.0,23,1.867732
0.0,6,1.871938
0.0,6,1.87618
0.0,12,1.885847
0.0,14,1.896747
0.0,7,1.901685
0.0,2,1.902515
0.0,18,1.916092
0.0,10,1.923131
0.0,4,1.926394
0.0,15,1.93681
0.0,22,1.952284
0.0,10,1.959823
0.0,3,1.96279
0.0,3,1.964066
0.0,11,1.975969
0.0,6,1.981988
0.0,3,1.984668
1.0,10,1.997164
0.0,34,2.030708
1.0,16,2.042086
0.0,21,2.058002
0.0,2,2.05878
0.0,12,2.066468
0.0,7,2.072428
0.0,13,2.08053
0.0,4,2.084071
0.0,12,2.094249
0.0,14,2.107767
0.0,10,2.115544
0.0,10,2.1238
0.0,2,2.126444
0.0,5,2.130828
0.0,7,2.135357
0.0,14,2.145503
0.0,6,2.149239
0.0,3,2.152007
0.0,20,2.1667
0.0,7,2.171097
0.0,3,2.173995
0.0,2,2.174767
0.0,4,2.178338
0.0,5,2.182064
1.0,40,2.212208
0.0,7,2.216693
0.0,21,2.233526
0.0,18,2.245672
0.0,14,2.25628
1.0,12,2.264361
0.0,9,2.27126
0.0,34,2.296813
0.0,10,2.304304
0.0,23,2.321829
0.0,13,2.330495
0.0,26,2.349173
0.0,5,2.35336
0.0,5,2.357419
1.0,33,2.381073
0.0,13,2.390702
1.0,13,2.398964
0.0,7,2.404965
1.0,19,2.416533
0.0,6,2.421851
0.0,25,2.438785
0.0,22,2.453151
1.0,14,2.464085
0.0,17,2.478352
0.0,16,2.489536
0.0,22,2.506219
0.0,12,2.516005
0.0,13,2.52682
0.0,57,2.570032
0.0,12,2.582044
0.0,16,2.59437
0.0,11,2.603156
1.0,27,2.624733
0.0,38,2.659512
0.0,27,2.686666
0.0,24,2.70358
0.0,4,2.707021
0.0,25,2.725576
1.0,23,2.743737
1.0,55,2.781651
0.0,14,2.789852
1.0,14,2.799757
0.0,100,2.872615
1.0,28,2.894094
1.0,9,2.900935
0.0,35,2.925225
0.0,19,2.93681
0.0,21,2.952363
0.0,46,2.983927
0.0,24,3.001065
0.0,16,3.011729
0.0,7,3.015747
0.0,8,3.022416
1.0,40,3.051557
0.0,11,3.060391
0.0,8,3.067305
0.0,32,3.088523
0.0,18,3.101413
0.0,3,3.10251
0.0,9,3.108968
0.0,14,3.119368
0.0,15,3.129724
1.0,21,3.144092
1.0,7,3.148146
0.0,74,3.200641
1.0,19,3.216144
0.0,12,3.224336
0.0,33,3.248445
0.0,47,3.282774
1.0,51,3.320898
0.0,6,3.324729
0.0,46,3.358756
1.0,19,3.37191
1.0,6,3.375629
0.0,22,3.391593
0.0,10,3.398963
1.0,15,3.410143
1.0,41,3.445054
0.0,70,3.540072
1.0,33,3.57094
0.0,48,3.625861
0.0,10,3.63465
0.0,29,3.667381
1.0,44,3.722565
1.0,66,3.790031
0.0,38,3.818304
0.0,40,3.846648
1.0,44,3.877451
0.0,50,3.913603
0.0,23,3.933411
0.0,9,3.938203
1.0,60,3.980901
0.0,13,3.991221
1.0,89,4.064731
1.0,32,4.08763
0.0,16,4.09919
0.0,14,4.110154
0.0,66,4.170089
0.0,54,4.216916
0.0,46,4.250188
1.0,50,4.288499
1.0,66,4.339581
0.0,71,4.391129
1.0,27,4.410582
1.0,16,4.421851
0.0,53,4.482738
1.0,43,4.521295
1.0,29,4.541607
1.0,20,4.556531
1.0,14,4.567119
0.0,15,4.577424
0.0,18,4.592311
1.0,34,4.620627
1.0,7,4.624855
0.0,24,4.642128
1.0,34,4.669062
1.0,24,4.685848
0.0,33,4.738597
0.0,46,4.775906
1.0,24,4.797898
1.0,16,4.809403
0.0,11,4.817403
1.0,13,4.827442
1.0,36,4.852524
0.0,36,4.876583
0.0,24,4.896798
1.0,28,4.92408
1.0,26,4.941726
1.0,56,4.979355
1.0,36,5.003098
1.0,25,5.035301
1.0,48,5.075178
1.0,65,5.121347
1.0,26,5.138675
1.0,29,5.159315
0.0,100,5.229728
1.0,10,5.236583
1.0,10,5.243283
0.0,26,5.26043
0.0,100,5.33386
0.0,54,5.370705
0.0,29,5.390579
0.0,57,5.430126
1.0,21,5.443995
1.0,18,5.456832
0.0,41,5.487662
1.0,10,5.494584
1.0,40,5.522372
1.0,77,5.5838
1.0,62,5.626829
1.0,59,5.670355
0.0,54,5.708059
1.0,13,5.715961
0.0,22,5.732456
1.0,49,5.766475
1.0,55,5.803704
1.0,11,5.812984
1.0,22,5.827141
1.0,32,5.849998
1.0,54,5.889263
1.0,52,5.925982
1.0,26,5.943658
1.0,92,6.010465
1.0,19,6.023998
1.0,13,6.033381
0.0,12,6.041601
1.0,35,6.065459
1.0,21,6.081118
0.0,26,6.100115
1.0,38,6.131122
0.0,90,6.194552
0.0,100,6.263851
1.0,24,6.280499
0.0,29,6.302641
0.0,13,6.310481
