#{"t_start": 1709585330.0813193, "env_id": "Taxi-v3"}
r,l,t
-722.0,200,0.411202
-317.0,200,0.612701
-209.0,200,0.81245
-200.0,200,1.008528
-200.0,200,1.189062
-200.0,200,1.378623
-200.0,200,1.579745
-200.0,200,1.782193
-200.0,200,1.984615
-200.0,200,2.170484
-200.0,200,2.389873
-200.0,200,2.581879
-200.0,200,2.780085
-200.0,200,2.977535
-200.0,200,3.168919
-200.0,200,3.370081
-200.0,200,3.561188
-209.0,200,3.752339
-200.0,200,3.946399
-200.0,200,4.131241
-200.0,200,4.320987
-200.0,200,4.508847
-209.0,200,4.705668
-200.0,200,4.89925
-200.0,200,5.088636
-200.0,200,5.27437
-200.0,200,5.456365
-200.0,200,5.656904
-200.0,200,5.843667
-200.0,200,6.040721
-200.0,200,6.231408
-200.0,200,6.414341
-200.0,200,6.604751
-200.0,200,6.797415
-200.0,200,6.996645
-200.0,200,7.19286
-200.0,200,7.395411
-200.0,200,7.589986
-200.0,200,7.778968
-200.0,200,7.966682
-200.0,200,8.158524
-200.0,200,8.34209
-200.0,200,8.532815
-200.0,200,8.726154
-200.0,200,8.910966
-200.0,200,9.106689
-200.0,200,9.293304
-200.0,200,9.483614
-209.0,200,9.669564
-200.0,200,9.857654
-200.0,200,10.05161
-200.0,200,10.24301
-200.0,200,10.435353
-200.0,200,10.626663
-200.0,200,10.820659
-200.0,200,11.021698
-200.0,200,11.21636
-200.0,200,11.410144
-200.0,200,11.605838
-200.0,200,11.814703
-200.0,200,12.01474
-200.0,200,12.197556
-200.0,200,12.388521
-200.0,200,12.574981
-200.0,200,12.767166
-200.0,200,12.969811
-200.0,200,13.156785
-200.0,200,13.350304
-200.0,200,13.537171
-200.0,200,13.720272
-200.0,200,13.916082
-200.0,200,14.103464
-200.0,200,14.298555
-200.0,200,14.483505
-200.0,200,14.670064
-200.0,200,14.870868
-200.0,200,15.063312
-200.0,200,15.259582
-200.0,200,15.450051
-200.0,200,15.637357
-200.0,200,15.839368
-200.0,200,16.036934
-200.0,200,16.232043
-200.0,200,16.433428
-200.0,200,16.627615
-200.0,200,16.831193
-200.0,200,17.027465
-200.0,200,17.230037
-200.0,200,17.419686
-200.0,200,17.616328
