#{"t_start": 1709585845.4762309, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,0.005457
0.0,6,0.006252
0.0,8,0.007141
0.0,2,0.007535
0.0,4,0.01059
0.0,6,0.011366
0.0,6,0.012077
0.0,2,0.012418
0.0,9,0.014354
0.0,3,0.014794
0.0,7,0.015654
0.0,2,0.015995
0.0,12,0.018154
0.0,13,0.01939
0.0,2,0.019764
0.0,9,0.020655
0.0,2,0.021857
0.0,2,0.022241
0.0,4,0.022766
0.0,16,0.02426
0.0,8,0.026029
0.0,3,0.026487
0.0,4,0.027011
0.0,21,0.028944
0.0,4,0.030586
0.0,6,0.031336
0.0,47,0.035418
0.0,8,0.03635
0.0,11,0.040305
0.0,11,0.041454
0.0,12,0.043337
0.0,7,0.045117
0.0,15,0.049967
0.0,20,0.054149
0.0,37,0.058159
0.0,6,0.058947
0.0,2,0.060792
0.0,46,0.064855
0.0,7,0.065658
0.0,5,0.066214
0.0,3,0.067805
0.0,2,0.068189
0.0,6,0.068841
0.0,10,0.069758
0.0,16,0.072282
0.0,2,0.072704
0.0,19,0.074493
0.0,4,0.075048
0.0,4,0.076684
0.0,2,0.077103
0.0,5,0.077686
0.0,34,0.080409
0.0,7,0.082157
0.0,9,0.083037
0.0,7,0.083759
0.0,4,0.08426
0.0,9,0.086062
0.0,2,0.08642
0.0,4,0.086916
0.0,6,0.087594
0.0,2,0.088905
0.0,14,0.09031
0.0,10,0.091395
0.0,2,0.091766
0.0,8,0.093922
0.0,4,0.094513
0.0,15,0.09613
0.0,6,0.096779
0.0,7,0.098867
0.0,2,0.099259
0.0,4,0.099773
1.0,14,0.10107
0.0,16,0.103572
0.0,5,0.104136
0.0,20,0.10592
0.0,16,0.107483
0.0,16,0.11018
0.0,9,0.111136
0.0,12,0.112422
0.0,5,0.113006
0.0,2,0.114413
0.0,6,0.115093
0.0,17,0.116511
0.0,7,0.117186
0.0,4,0.118659
0.0,36,0.121431
0.0,6,0.122075
0.0,8,0.122856
0.0,7,0.124782
0.0,9,0.125668
0.0,5,0.126243
0.0,12,0.127355
0.0,5,0.129011
0.0,13,0.130158
0.0,3,0.130555
0.0,9,0.131383
0.0,6,0.134226
0.0,2,0.134968
0.0,2,0.13552
0.0,7,0.136223
0.0,5,0.137836
1.0,15,0.139255
0.0,3,0.139746
0.0,4,0.140248
0.0,7,0.142234
0.0,18,0.143989
0.0,38,0.147027
0.0,3,0.147474
0.0,31,0.151127
0.0,52,0.155298
0.0,2,0.155692
0.0,9,0.156584
0.0,3,0.158923
0.0,3,0.159866
0.0,2,0.160305
0.0,2,0.16067
0.0,3,0.162153
0.0,6,0.162803
0.0,53,0.166731
0.0,3,0.167304
0.0,14,0.169727
1.0,15,0.170964
0.0,2,0.171362
0.0,22,0.173103
0.0,8,0.175043
0.0,14,0.176347
0.0,3,0.176774
0.0,17,0.178175
0.0,2,0.179562
0.0,6,0.18026
0.0,15,0.181492
0.0,10,0.182395
0.0,17,0.184995
0.0,11,0.18603
0.0,7,0.186746
0.0,9,0.18768
0.0,3,0.189243
0.0,7,0.190019
0.0,7,0.190731
0.0,3,0.191136
0.0,4,0.192754
0.0,5,0.193393
0.0,13,0.19461
0.0,6,0.1953
0.0,3,0.196826
0.0,11,0.197943
0.0,6,0.198599
0.0,58,0.203449
0.0,4,0.205137
0.0,7,0.20595
0.0,7,0.206687
0.0,2,0.207057
0.0,8,0.209103
0.0,3,0.209577
0.0,19,0.211314
0.0,3,0.21178
0.0,15,0.214547
0.0,18,0.21615
0.0,9,0.217001
0.0,4,0.217463
0.0,2,0.219021
0.0,18,0.220617
0.0,9,0.221468
0.0,7,0.222237
0.0,2,0.223718
0.0,2,0.224115
0.0,5,0.224716
0.0,13,0.225863
0.0,14,0.228446
0.0,2,0.228817
0.0,4,0.229346
0.0,5,0.230011
0.0,2,0.231542
0.0,4,0.232079
0.0,11,0.233085
0.0,2,0.233397
0.0,23,0.236557
0.0,5,0.237195
0.0,2,0.237532
0.0,14,0.238858
0.0,12,0.241127
0.0,13,0.242342
0.0,2,0.242737
0.0,38,0.246212
0.0,9,0.248452
0.0,4,0.248975
0.0,4,0.249455
0.0,20,0.251174
0.0,4,0.252678
0.0,8,0.253525
0.0,2,0.253954
0.0,5,0.254541
0.0,2,0.255955
0.0,3,0.256446
0.0,12,0.257576
0.0,4,0.258108
0.0,5,0.259918
0.0,3,0.260397
0.0,2,0.260753
0.0,16,0.262308
0.0,13,0.264729
0.0,2,0.265089
0.0,6,0.265748
0.0,37,0.269028
0.0,3,0.270513
0.0,7,0.271333
0.0,3,0.271752
0.0,3,0.272155
0.0,11,0.274454
0.0,6,0.275134
0.0,11,0.27628
0.0,39,0.279581
0.0,8,0.28166
0.0,14,0.28289
0.0,3,0.283328
0.0,3,0.283731
0.0,7,0.285543
0.0,7,0.286326
0.0,2,0.286705
0.0,7,0.287718
0.0,2,0.289212
0.0,2,0.289595
0.0,34,0.292474
0.0,2,0.292861
0.0,28,0.29645
0.0,4,0.296972
0.0,2,0.297333
0.0,11,0.298321
0.0,3,0.300437
0.0,6,0.301953
0.0,7,0.303706
0.0,5,0.304325
0.0,4,0.305886
0.0,15,0.307291
0.0,6,0.308174
0.0,2,0.308514
0.0,4,0.310299
0.0,32,0.313032
0.0,4,0.313521
0.0,10,0.314403
0.0,4,0.31592
0.0,2,0.316275
0.0,6,0.316925
0.0,10,0.317834
0.0,3,0.319007
0.0,3,0.31947
0.0,2,0.319796
0.0,18,0.321286
0.0,35,0.326216
0.0,14,0.32793
0.0,3,0.328401
0.0,13,0.329536
0.0,2,0.330858
0.0,45,0.334402
0.0,6,0.335044
0.0,5,0.335597
0.0,4,0.337113
0.0,6,0.337778
0.0,3,0.338182
0.0,3,0.338577
0.0,24,0.341839
0.0,5,0.342551
0.0,9,0.344596
0.0,12,0.348314
0.0,2,0.350537
0.0,5,0.35212
0.0,8,0.354639
0.0,6,0.356634
0.0,23,0.364336
0.0,5,0.366009
0.0,11,0.368181
0.0,8,0.369016
0.0,23,0.372295
0.0,8,0.373412
0.0,8,0.374333
0.0,10,0.375619
0.0,2,0.37719
0.0,52,0.381624
0.0,2,0.382129
1.0,13,0.383438
0.0,7,0.385296
0.0,48,0.389178
0.0,14,0.39048
0.0,11,0.391578
0.0,11,0.393855
1.0,10,0.394835
0.0,7,0.395598
0.0,9,0.396426
0.0,11,0.39857
0.0,9,0.399451
0.0,9,0.400308
0.0,5,0.400846
0.0,12,0.403046
0.0,8,0.403834
0.0,10,0.404731
0.0,3,0.405119
0.0,3,0.406554
0.0,7,0.407345
0.0,4,0.407828
0.0,4,0.408285
0.0,3,0.409814
0.0,9,0.41074
0.0,4,0.411306
1.0,8,0.41207
0.0,11,0.414054
0.0,7,0.414738
0.0,5,0.415327
0.0,3,0.415728
0.0,19,0.418207
0.0,12,0.419275
0.0,12,0.420336
0.0,9,0.421184
0.0,56,0.42738
0.0,10,0.428462
0.0,3,0.428905
0.0,23,0.43076
0.0,5,0.43257
0.0,4,0.433097
0.0,21,0.434777
0.0,3,0.435173
1.0,16,0.437479
0.0,6,0.438106
0.0,9,0.438996
0.0,6,0.439642
0.0,5,0.441216
0.0,33,0.443922
0.0,3,0.444379
1.0,24,0.446263
0.0,7,0.447994
0.0,8,0.448771
0.0,6,0.449377
0.0,11,0.450332
0.0,3,0.451804
0.0,7,0.452544
0.0,3,0.452938
0.0,2,0.453253
0.0,5,0.454918
0.0,18,0.456497
0.0,6,0.457127
0.0,2,0.457461
0.0,3,0.458972
0.0,4,0.459534
0.0,12,0.460679
0.0,6,0.461408
1.0,16,0.464072
0.0,7,0.464785
0.0,2,0.465132
0.0,10,0.466029
0.0,4,0.467592
0.0,4,0.468122
0.0,4,0.468615
0.0,7,0.469318
0.0,7,0.471083
0.0,6,0.471749
0.0,38,0.474751
0.0,2,0.475143
0.0,12,0.477315
0.0,2,0.47772
0.0,25,0.479797
0.0,7,0.480479
0.0,8,0.482322
0.0,5,0.482898
0.0,11,0.483896
0.0,2,0.484231
0.0,6,0.485873
0.0,14,0.48708
0.0,2,0.487422
0.0,3,0.487811
0.0,22,0.492636
0.0,6,0.493456
0.0,2,0.493879
0.0,9,0.494797
0.0,21,0.497566
0.0,9,0.498414
0.0,8,0.499156
0.0,5,0.499718
0.0,8,0.501473
0.0,2,0.501797
0.0,13,0.502877
0.0,28,0.505027
0.0,2,0.506367
0.0,5,0.507014
0.0,9,0.507931
0.0,12,0.509007
0.0,6,0.510962
0.0,5,0.51158
1.0,12,0.512654
0.0,2,0.512967
0.0,4,0.514454
0.0,2,0.514808
0.0,5,0.515379
0.0,2,0.515683
0.0,4,0.51721
0.0,4,0.517727
0.0,2,0.518044
0.0,16,0.519412
0.0,6,0.520949
1.0,13,0.522145
0.0,5,0.522727
0.0,16,0.524214
0.0,8,0.526252
0.0,6,0.52697
0.0,7,0.52775
0.0,6,0.52836
0.0,4,0.530199
0.0,6,0.53097
0.0,4,0.531649
0.0,6,0.532301
0.0,2,0.533639
0.0,2,0.533988
0.0,5,0.53454
0.0,8,0.535332
0.0,8,0.536968
0.0,11,0.537929
0.0,5,0.538517
0.0,5,0.539051
0.0,8,0.540898
0.0,15,0.542273
0.0,16,0.5438
0.0,2,0.544171
0.0,4,0.545732
0.0,3,0.546167
0.0,5,0.546693
0.0,6,0.547332
0.0,17,0.549675
0.0,6,0.550293
0.0,9,0.551159
0.0,7,0.551857
0.0,3,0.553183
0.0,4,0.553699
0.0,2,0.554017
0.0,2,0.554352
0.0,12,0.556346
0.0,3,0.556777
0.0,10,0.557698
0.0,2,0.558014
0.0,7,0.559817
1.0,8,0.560694
0.0,4,0.561167
0.0,2,0.561497
0.0,2,0.562798
0.0,14,0.564123
0.0,5,0.564695
0.0,4,0.565173
1.0,11,0.567235
0.0,13,0.568399
0.0,2,0.568742
0.0,8,0.569503
0.0,8,0.57135
0.0,2,0.57169
0.0,7,0.572404
0.0,4,0.572894
0.0,3,0.574308
0.0,16,0.575828
0.0,2,0.576164
0.0,5,0.576781
0.0,3,0.578233
0.0,2,0.578608
0.0,19,0.580231
0.0,20,0.581874
0.0,7,0.583622
0.0,5,0.584164
0.0,7,0.584846
0.0,3,0.58523
0.0,15,0.587615
0.0,8,0.588422
0.0,9,0.589341
0.0,5,0.589914
0.0,10,0.591892
0.0,2,0.592257
0.0,3,0.592681
0.0,8,0.593514
0.0,14,0.596017
0.0,3,0.596467
0.0,9,0.597313
0.0,9,0.598184
0.0,10,0.600153
0.0,6,0.600773
0.0,12,0.601818
0.0,11,0.602805
0.0,7,0.604377
0.0,10,0.605314
0.0,6,0.605943
0.0,2,0.60627
0.0,7,0.607988
0.0,2,0.608334
0.0,7,0.60902
0.0,4,0.609541
0.0,2,0.610857
0.0,6,0.611617
0.0,16,0.612975
0.0,5,0.613524
1.0,11,0.615813
0.0,8,0.616584
0.0,8,0.617333
0.0,3,0.617752
0.0,9,0.619637
0.0,2,0.619998
0.0,5,0.62059
0.0,6,0.621224
0.0,8,0.622958
0.0,8,0.624134
0.0,25,0.626367
0.0,2,0.626949
0.0,5,0.628584
0.0,19,0.630181
0.0,12,0.63128
0.0,3,0.631861
0.0,10,0.63386
0.0,6,0.634519
0.0,2,0.634865
0.0,3,0.635288
0.0,11,0.637268
0.0,6,0.637883
0.0,3,0.638317
0.0,6,0.638932
1.0,8,0.640636
0.0,3,0.64108
0.0,6,0.641725
0.0,4,0.642253
0.0,3,0.643733
0.0,9,0.644627
0.0,5,0.645182
0.0,2,0.6455
0.0,4,0.646927
0.0,11,0.647974
0.0,4,0.648434
0.0,5,0.648993
0.0,8,0.650761
0.0,10,0.651727
0.0,6,0.652386
0.0,8,0.653151
0.0,4,0.654667
0.0,2,0.655036
0.0,3,0.65553
0.0,2,0.655864
0.0,2,0.657124
0.0,4,0.65766
0.0,6,0.658306
0.0,4,0.658767
0.0,8,0.66101
0.0,4,0.661549
0.0,5,0.66212
0.0,17,0.663832
0.0,3,0.665365
0.0,11,0.666425
0.0,11,0.66747
0.0,10,0.668356
0.0,5,0.66999
0.0,8,0.670838
0.0,8,0.671661
0.0,2,0.672009
0.0,12,0.674094
0.0,2,0.674457
0.0,16,0.675908
0.0,16,0.677323
0.0,6,0.679045
0.0,3,0.679521
0.0,8,0.680287
0.0,2,0.680605
0.0,8,0.682443
0.0,9,0.683332
0.0,11,0.684347
0.0,3,0.684752
0.0,6,0.686405
0.0,5,0.686977
0.0,3,0.687376
0.0,4,0.687877
0.0,5,0.689447
0.0,2,0.689827
0.0,10,0.690808
0.0,2,0.691144
0.0,4,0.693713
0.0,2,0.694464
0.0,3,0.695406
0.0,5,0.696709
0.0,7,0.699891
0.0,11,0.702526
0.0,9,0.704594
0.0,7,0.706256
0.0,7,0.708569
0.0,13,0.709822
0.0,2,0.710193
0.0,4,0.710718
0.0,7,0.712501
0.0,4,0.71303
0.0,12,0.714177
0.0,13,0.715381
0.0,36,0.721417
0.0,2,0.721812
0.0,2,0.722177
0.0,6,0.722828
0.0,6,0.724476
0.0,18,0.726109
0.0,5,0.726796
0.0,5,0.727429
0.0,2,0.728834
0.0,24,0.730811
0.0,27,0.733023
0.0,7,0.733753
0.0,7,0.736835
0.0,9,0.738926
0.0,10,0.741249
0.0,13,0.744161
0.0,4,0.746887
0.0,5,0.74825
0.0,5,0.74956
0.0,8,0.751578
0.0,22,0.754404
0.0,8,0.755306
1.0,13,0.756605
0.0,3,0.757118
0.0,5,0.75904
0.0,11,0.76028
0.0,5,0.761752
0.0,20,0.764739
0.0,3,0.766277
0.0,13,0.767583
0.0,16,0.768985
0.0,3,0.769397
0.0,6,0.771022
0.0,10,0.772027
0.0,2,0.772365
0.0,3,0.772777
0.0,21,0.775628
0.0,6,0.776337
0.0,18,0.777989
0.0,11,0.779113
0.0,2,0.780497
0.0,2,0.780845
0.0,4,0.78134
0.0,12,0.782365
0.0,7,0.784027
0.0,10,0.784954
0.0,2,0.785301
0.0,8,0.786111
0.0,6,0.787623
0.0,3,0.788021
0.0,5,0.788553
0.0,8,0.789371
0.0,11,0.791561
0.0,4,0.792118
0.0,2,0.792472
0.0,7,0.79324
0.0,6,0.795021
0.0,8,0.795853
0.0,3,0.796303
0.0,3,0.796709
0.0,2,0.798607
0.0,12,0.800329
1.0,21,0.802113
0.0,2,0.802453
0.0,2,0.80373
0.0,4,0.804261
0.0,4,0.804808
0.0,4,0.805296
0.0,3,0.806778
1.0,12,0.80796
0.0,3,0.808399
0.0,7,0.809276
1.0,10,0.81148
0.0,3,0.811926
0.0,6,0.812554
1.0,7,0.813246
0.0,3,0.81468
0.0,2,0.815079
0.0,3,0.815528
0.0,5,0.816129
0.0,8,0.817947
0.0,11,0.818946
0.0,6,0.819625
0.0,3,0.820013
0.0,14,0.822309
0.0,3,0.822747
0.0,17,0.824408
0.0,5,0.82507
0.0,3,0.826613
0.0,6,0.827322
0.0,15,0.828831
0.0,9,0.829739
0.0,4,0.831375
0.0,3,0.83184
0.0,2,0.83217
0.0,2,0.832506
1.0,12,0.834634
0.0,8,0.835484
0.0,4,0.835974
0.0,19,0.837529
0.0,4,0.838903
0.0,29,0.841484
0.0,3,0.841947
0.0,2,0.842307
0.0,5,0.843964
0.0,2,0.844333
0.0,12,0.845438
0.0,11,0.846482
0.0,38,0.850663
0.0,16,0.852061
0.0,4,0.85252
0.0,4,0.853016
0.0,10,0.854979
0.0,14,0.856328
0.0,2,0.856754
1.0,11,0.857846
0.0,10,0.859953
0.0,2,0.860384
1.0,20,0.862068
0.0,11,0.863085
0.0,17,0.865691
0.0,11,0.866725
0.0,5,0.867367
0.0,16,0.868744
0.0,13,0.871083
1.0,9,0.871964
0.0,11,0.873425
0.0,2,0.873949
0.0,6,0.876036
0.0,3,0.876469
0.0,4,0.876978
0.0,8,0.87775
0.0,7,0.879647
0.0,9,0.880526
0.0,10,0.881412
0.0,11,0.882345
0.0,8,0.885616
0.0,5,0.886943
0.0,2,0.88766
0.0,2,0.888352
0.0,6,0.89139
0.0,2,0.892159
0.0,3,0.89313
0.0,27,0.896974
0.0,17,0.899741
0.0,7,0.900489
0.0,7,0.901278
0.0,18,0.902755
0.0,9,0.904534
0.0,4,0.905004
0.0,12,0.906104
0.0,5,0.906678
0.0,3,0.908021
0.0,24,0.910078
0.0,11,0.911207
0.0,4,0.911714
0.0,10,0.913796
0.0,6,0.914404
0.0,7,0.915066
0.0,5,0.915635
0.0,4,0.917162
1.0,11,0.91821
0.0,4,0.918679
0.0,5,0.919228
0.0,15,0.921448
0.0,6,0.922063
0.0,3,0.92247
0.0,6,0.923137
0.0,5,0.924627
0.0,3,0.925105
0.0,5,0.925693
0.0,28,0.928082
0.0,7,0.929999
0.0,8,0.930781
0.0,3,0.931202
0.0,13,0.932376
0.0,10,0.934326
0.0,4,0.934844
0.0,2,0.935175
0.0,3,0.935588
1.0,17,0.937951
0.0,13,0.939104
0.0,3,0.939577
0.0,14,0.940833
0.0,8,0.942592
0.0,7,0.943353
