#{"t_start": 1709584918.2221575, "env_id": "CliffWalking-v0"}
r,l,t
-27245.0,2693,1.200808
-4995.0,540,1.503482
-1979.0,197,1.64535
-594.0,198,1.793035
-277.0,178,1.811798
-265.0,67,1.940346
-148.0,49,1.945971
-1102.0,112,1.957503
-122.0,23,1.960149
-244.0,46,2.092993
-293.0,95,2.103484
-309.0,111,2.114534
-203.0,104,2.263613
-246.0,48,2.269433
-569.0,74,2.276593
-122.0,23,2.278971
-673.0,79,2.422411
-558.0,63,2.430032
-157.0,58,2.437327
-28.0,28,2.440924
-157.0,58,2.447805
-140.0,41,2.58678
-25.0,25,2.589794
-38.0,38,2.594145
-142.0,43,2.599738
-44.0,44,2.604591
-37.0,37,2.60917
-226.0,28,2.61221
-169.0,70,2.756128
-23.0,23,2.759331
-126.0,27,2.762598
-152.0,53,2.769431
-72.0,72,2.778402
-58.0,58,2.924294
-21.0,21,2.927476
-17.0,17,2.92997
-25.0,25,2.933458
-25.0,25,2.937014
-132.0,33,2.94095
-132.0,33,2.94536
-25.0,25,2.948897
-21.0,21,2.951926
-15.0,15,2.954055
-120.0,21,3.105732
-349.0,52,3.113712
-20.0,20,3.116495
-21.0,21,3.119516
-121.0,22,3.122961
-15.0,15,3.12547
-123.0,24,3.129076
-17.0,17,3.131217
-25.0,25,3.135029
-21.0,21,3.137994
-19.0,19,3.140903
-21.0,21,3.28372
-21.0,21,3.286916
-21.0,21,3.290364
-25.0,25,3.293937
-125.0,26,3.297641
-25.0,25,3.301528
-34.0,34,3.306258
-125.0,26,3.309787
-119.0,20,3.312559
-17.0,17,3.315009
-32.0,32,3.319459
-234.0,36,3.466362
-120.0,21,3.469211
-227.0,29,3.473265
-21.0,21,3.476458
-130.0,31,3.481356
-226.0,28,3.485458
-18.0,18,3.489421
-127.0,28,3.493786
-223.0,25,3.497145
-127.0,28,3.643982
-335.0,38,3.649713
-15.0,15,3.652321
-19.0,19,3.654935
-230.0,32,3.660219
-13.0,13,3.662381
-13.0,13,3.664812
-231.0,33,3.670166
-134.0,35,3.675344
-15.0,15,3.67793
-14.0,14,3.680852
-133.0,34,3.827204
