#{"t_start": 1709585854.7692878, "env_id": "FrozenLake-v1"}
r,l,t
0.0,9,0.138448
0.0,25,0.140251
0.0,11,0.140851
0.0,12,0.141484
0.0,2,0.142081
0.0,5,0.142582
0.0,10,0.143169
0.0,11,0.143748
0.0,13,0.1445
0.0,5,0.144892
0.0,12,0.145492
0.0,7,0.14595
0.0,5,0.146242
0.0,3,0.146364
0.0,2,0.146664
1.0,12,0.147266
0.0,12,0.14798
0.0,2,0.148078
0.0,9,0.148589
0.0,29,0.15011
0.0,2,0.150341
0.0,2,0.150435
0.0,2,0.150742
0.0,14,0.151403
0.0,3,0.15164
0.0,6,0.152099
0.0,5,0.152289
0.0,3,0.152617
0.0,4,0.152864
0.0,14,0.15374
0.0,15,0.154528
0.0,14,0.155191
0.0,4,0.15565
0.0,3,0.15578
0.0,21,0.156881
0.0,3,0.1572
0.0,10,0.157889
0.0,6,0.158133
0.0,6,0.158587
0.0,2,0.158688
0.0,16,0.15978
0.0,4,0.159954
0.0,4,0.160111
0.0,17,0.161119
0.0,4,0.161403
0.0,10,0.161994
0.0,24,0.163479
0.0,8,0.163981
0.0,4,0.164255
0.0,5,0.164651
0.0,7,0.164914
0.0,6,0.165346
0.0,25,0.166693
0.0,3,0.167024
0.0,13,0.167659
0.0,20,0.168714
0.0,4,0.168981
0.0,3,0.169325
0.0,22,0.170568
0.0,2,0.170672
0.0,6,0.171228
0.0,15,0.171956
0.0,11,0.172553
0.0,3,0.172881
0.0,9,0.173331
0.0,24,0.174818
0.0,6,0.175053
0.0,3,0.1754
0.0,15,0.176319
0.0,13,0.177204
0.0,4,0.177382
0.0,28,0.178958
0.0,3,0.179229
0.0,9,0.179782
0.0,7,0.180246
0.0,6,0.180476
0.0,5,0.181032
0.0,8,0.181553
0.0,4,0.181729
0.0,2,0.181822
0.0,17,0.183314
0.0,5,0.183522
0.0,3,0.183875
0.0,8,0.184161
0.0,3,0.184601
0.0,5,0.184796
0.0,2,0.184886
0.0,5,0.185302
0.0,2,0.185512
0.0,5,0.185979
0.0,5,0.186176
0.0,14,0.187044
0.0,8,0.187445
0.0,6,0.187885
0.0,4,0.188042
0.0,4,0.188399
0.0,8,0.189023
0.0,2,0.189134
0.0,2,0.189225
0.0,9,0.189748
0.0,2,0.189943
0.0,2,0.190037
0.0,8,0.190546
0.0,2,0.190643
0.0,3,0.191082
0.0,2,0.191195
0.0,6,0.19142
0.0,6,0.191857
0.0,8,0.192487
0.0,7,0.19274
0.0,13,0.193582
0.0,7,0.19384
0.0,3,0.194298
