#{"t_start": 1709585399.8485112, "env_id": "Taxi-v3"}
r,l,t
-722.0,200,0.152805
-884.0,200,0.167808
-821.0,200,0.179117
-821.0,200,0.189815
-785.0,200,0.201618
-677.0,200,0.380188
-722.0,200,0.53266
-695.0,200,0.688681
-731.0,200,0.868288
-659.0,200,0.889858
-497.0,200,1.048766
-578.0,200,1.209361
-479.0,200,1.383179
-614.0,200,1.407676
-605.0,200,1.589987
-560.0,200,1.773975
-524.0,200,1.951986
-533.0,200,2.120038
-632.0,200,2.145095
-506.0,200,2.315676
-398.0,200,2.49642
-461.0,200,2.667816
-488.0,200,2.698382
-470.0,200,2.873399
-452.0,200,3.05116
-407.0,200,3.223799
-479.0,200,3.398054
-434.0,200,3.429842
-317.0,200,3.621664
-371.0,200,3.798378
-237.0,123,3.818344
-326.0,200,4.00098
-326.0,200,4.187107
-344.0,200,4.368421
-335.0,200,4.545367
-281.0,200,4.57949
-263.0,200,4.763211
-281.0,200,4.948347
-236.0,200,5.13359
-254.0,200,5.174159
-218.0,200,5.361038
-209.0,200,5.54377
-200.0,200,5.726858
-209.0,200,5.918506
-209.0,200,5.959826
-236.0,200,6.157549
-209.0,200,6.346561
-209.0,200,6.550758
-209.0,200,6.595191
-209.0,200,6.792871
-227.0,200,6.982865
-218.0,200,7.172911
-218.0,200,7.363127
-209.0,200,7.402073
-209.0,200,7.587565
-245.0,200,7.773067
-209.0,200,7.967059
-218.0,200,8.155401
-200.0,200,8.194511
-209.0,200,8.378951
-227.0,200,8.568921
-209.0,200,8.755075
-236.0,200,8.794417
-209.0,200,8.978679
-227.0,200,9.176262
-209.0,200,9.365521
-245.0,200,9.54911
-218.0,200,9.587961
-236.0,200,9.782956
-209.0,200,9.967497
-236.0,200,10.163609
-227.0,200,10.201019
-209.0,200,10.395374
-227.0,200,10.574988
-218.0,200,10.756564
-245.0,200,10.94132
-218.0,200,10.981351
-209.0,200,11.167197
-227.0,200,11.350376
-254.0,200,11.535427
-227.0,200,11.576401
-227.0,200,11.7611
-218.0,200,11.944562
-227.0,200,12.132141
-218.0,200,12.326658
-227.0,200,12.363504
-236.0,200,12.555151
-254.0,200,12.74463
-218.0,200,12.948003
-236.0,200,13.132244
-200.0,200,13.170386
-218.0,200,13.370247
-236.0,200,13.562666
-218.0,200,13.76197
-227.0,200,13.805258
-209.0,200,14.007994
-218.0,200,14.205513
-227.0,200,14.410802
-236.0,200,14.601336
-227.0,200,14.637488
-209.0,200,14.834364
-209.0,200,15.024645
-218.0,200,15.208248
-209.0,200,15.249676
-218.0,200,15.447458
-200.0,200,15.646712
-236.0,200,15.849887
-236.0,200,16.049904
-227.0,200,16.096844
-218.0,200,16.299059
-236.0,200,16.499243
-227.0,200,16.696077
-209.0,200,16.742898
-218.0,200,16.946637
-227.0,200,17.131914
-227.0,200,17.321077
-236.0,200,17.527286
-236.0,200,17.571223
-236.0,200,17.772638
-218.0,200,17.981927
-245.0,200,18.187379
-245.0,200,18.381965
-227.0,200,18.424252
-218.0,200,18.612452
-236.0,200,18.80955
-236.0,200,18.991561
-209.0,200,19.030153
-227.0,200,19.223204
-218.0,200,19.429325
-245.0,200,19.615133
-236.0,200,19.812943
-218.0,200,19.850659
-227.0,200,20.045202
-227.0,200,20.232188
-227.0,200,20.421967
-227.0,200,20.463058
-209.0,200,20.659339
-218.0,200,20.863968
-245.0,200,21.064068
-227.0,200,21.264347
-245.0,200,21.307451
-236.0,200,21.509247
-209.0,200,21.701293
-200.0,200,21.904218
-209.0,200,21.948658
-218.0,200,22.156122
-209.0,200,22.351528
-200.0,200,22.534397
-200.0,200,22.732514
-200.0,200,22.774927
-218.0,200,22.983789
-227.0,200,23.181065
-245.0,200,23.379767
-209.0,200,23.563628
-218.0,200,23.601957
-227.0,200,23.805199
-218.0,200,24.010648
-209.0,200,24.208201
-218.0,200,24.24831
-218.0,200,24.441353
-218.0,200,24.667637
-236.0,200,24.86763
-209.0,200,25.049555
-236.0,200,25.085549
-209.0,200,25.280144
-209.0,200,25.472393
-236.0,200,25.674285
-227.0,200,25.712101
-254.0,200,25.91382
-218.0,200,26.098437
-209.0,200,26.282584
-227.0,200,26.468278
-218.0,200,26.510866
-218.0,200,26.699141
-254.0,200,26.886605
-227.0,200,27.071912
-209.0,200,27.112667
-227.0,200,27.300668
-218.0,200,27.491558
-227.0,200,27.676825
-218.0,200,27.870275
-209.0,200,27.909423
-227.0,200,28.09931
-218.0,200,28.303735
-209.0,200,28.507351
-245.0,200,28.69738
-236.0,200,28.738591
-209.0,200,28.940949
-227.0,200,29.137339
-236.0,200,29.325088
-200.0,200,29.364446
-158.0,161,29.549461
-218.0,200,29.74037
-209.0,200,29.931222
-245.0,200,29.971226
-227.0,200,30.160855
-263.0,200,30.353814
-218.0,200,30.545165
-209.0,200,30.734261
-218.0,200,30.775647
-200.0,200,30.977866
-218.0,200,31.168605
-263.0,200,31.369987
-263.0,200,31.412906
-72.0,84,31.605371
-209.0,200,31.803702
-200.0,200,31.847016
8.0,13,31.851139
-227.0,200,32.047555
10.0,11,32.050193
-218.0,200,32.236225
-209.0,200,32.424429
-227.0,200,32.636739
-218.0,200,32.674839
-227.0,200,32.862085
-245.0,200,33.047522
-209.0,200,33.238628
13.0,8,33.240159
-218.0,200,33.281217
-209.0,200,33.470699
-200.0,200,33.660081
-263.0,200,33.849122
-254.0,200,34.051744
-200.0,200,34.095592
-218.0,200,34.3082
-236.0,200,34.517737
-209.0,200,34.727686
-236.0,200,34.769593
-218.0,200,34.973366
-119.0,131,35.150008
-218.0,200,35.344832
-218.0,200,35.384055
-209.0,200,35.578776
-218.0,200,35.773457
-227.0,200,35.980631
-209.0,200,36.020087
-227.0,200,36.218099
-254.0,200,36.407382
-236.0,200,36.607076
-200.0,200,36.815833
-227.0,200,36.869938
-236.0,200,37.078503
-209.0,200,37.287356
-245.0,200,37.479673
-227.0,200,37.675854
-209.0,200,37.715644
-123.0,126,37.893538
13.0,8,37.895347
-227.0,200,38.105519
-227.0,200,38.148032
-209.0,200,38.343513
-227.0,200,38.535213
-236.0,200,38.743423
-245.0,200,38.954755
-227.0,200,38.998077
-227.0,200,39.200434
