#{"t_start": 1709584954.9702709, "env_id": "CliffWalking-v0"}
r,l,t
-3025.0,1441,2.577511
-505.0,208,2.9031
-71.0,71,3.032275
-85.0,85,3.194338
-125.0,26,3.249063
-27.0,27,3.302402
-243.0,45,3.361669
-25.0,25,3.410001
-26.0,26,3.457255
-21.0,21,3.464126
-42.0,42,3.562861
-22.0,22,3.570534
-18.0,18,3.617104
-19.0,19,3.623757
-18.0,18,3.670198
-17.0,17,3.676142
-16.0,16,3.722817
-16.0,16,3.728359
-15.0,15,3.772666
-15.0,15,3.777981
-15.0,15,3.823049
-15.0,15,3.828171
-15.0,15,3.875245
-16.0,16,3.880744
-16.0,16,3.932424
-17.0,17,3.938404
-16.0,16,3.990376
-18.0,18,3.996609
-15.0,15,4.043535
-15.0,15,4.04918
-15.0,15,4.095387
-15.0,15,4.100925
-15.0,15,4.146975
-15.0,15,4.152294
-15.0,15,4.199966
-15.0,15,4.205241
-16.0,16,4.25438
-15.0,15,4.260026
-15.0,15,4.305621
-15.0,15,4.31092
-15.0,15,4.359365
-15.0,15,4.36564
-15.0,15,4.371385
-15.0,15,4.427299
-15.0,15,4.432538
-15.0,15,4.479446
-15.0,15,4.484644
-15.0,15,4.53092
-15.0,15,4.536145
-15.0,15,4.588867
-15.0,15,4.594215
-15.0,15,4.643217
-15.0,15,4.64923
-15.0,15,4.695938
-15.0,15,4.701759
-15.0,15,4.74951
-15.0,15,4.754894
-15.0,15,4.760507
-15.0,15,4.808874
-15.0,15,4.814067
-15.0,15,4.869982
-15.0,15,4.875093
-15.0,15,4.922403
-15.0,15,4.928019
-15.0,15,4.975106
-15.0,15,4.980272
-15.0,15,5.02524
-15.0,15,5.030508
-15.0,15,5.076669
-15.0,15,5.082002
-15.0,15,5.129147
-15.0,15,5.135389
-15.0,15,5.186586
-15.0,15,5.192828
-15.0,15,5.198946
-15.0,15,5.254723
-15.0,15,5.259936
-15.0,15,5.311261
-15.0,15,5.316459
-15.0,15,5.363819
-15.0,15,5.369626
-15.0,15,5.417522
-15.0,15,5.42291
-15.0,15,5.469472
-15.0,15,5.474844
-15.0,15,5.523295
-15.0,15,5.5293
-15.0,15,5.58533
-15.0,15,5.59122
-15.0,15,5.596393
-15.0,15,5.643131
-15.0,15,5.648266
-15.0,15,5.697572
-15.0,15,5.702883
-15.0,15,5.747375
-15.0,15,5.752637
-15.0,15,5.801728
-15.0,15,5.807001
-15.0,15,5.859902
-15.0,15,5.865202
-15.0,15,5.910646
-15.0,15,5.915903
-15.0,15,5.962646
-15.0,15,5.968035
-15.0,15,6.013559
-15.0,15,6.019141
-15.0,15,6.024094
-15.0,15,6.07535
-15.0,15,6.08063
-15.0,15,6.12719
-15.0,15,6.132405
-15.0,15,6.179057
-15.0,15,6.184244
-15.0,15,6.231614
-15.0,15,6.236927
-15.0,15,6.29642
-15.0,15,6.301865
-15.0,15,6.350545
-15.0,15,6.355855
-15.0,15,6.401489
-15.0,15,6.407279
-15.0,15,6.412747
-15.0,15,6.4649
-15.0,15,6.47097
-15.0,15,6.521592
-15.0,15,6.527425
-15.0,15,6.578897
-15.0,15,6.584858
-15.0,15,6.636168
-15.0,15,6.642245
-15.0,15,6.693389
-15.0,15,6.699457
-15.0,15,6.74981
-15.0,15,6.755642
-15.0,15,6.806659
-15.0,15,6.812932
-15.0,15,6.862208
-15.0,15,6.868165
-15.0,15,6.873925
-15.0,15,6.924168
-15.0,15,6.930241
-15.0,15,6.979243
-15.0,15,6.985158
-15.0,15,7.034671
-15.0,15,7.040567
-15.0,15,7.090015
-15.0,15,7.095934
-15.0,15,7.146451
-15.0,15,7.152315
-15.0,15,7.204105
-15.0,15,7.210228
-15.0,15,7.26105
-15.0,15,7.267453
-15.0,15,7.273617
-15.0,15,7.324927
-15.0,15,7.331143
-15.0,15,7.381341
-15.0,15,7.387447
-15.0,15,7.437572
-15.0,15,7.443444
-15.0,15,7.493604
-15.0,15,7.499659
-15.0,15,7.54923
-15.0,15,7.555427
-15.0,15,7.604609
-15.0,15,7.610654
-15.0,15,7.660538
-15.0,15,7.666569
-15.0,15,7.716825
-15.0,15,7.723169
-15.0,15,7.729145
-15.0,15,7.779932
-15.0,15,7.78532
-15.0,15,7.83188
-15.0,15,7.837134
-15.0,15,7.886009
-15.0,15,7.89134
-15.0,15,7.937324
-15.0,15,7.942654
-15.0,15,7.989357
-15.0,15,7.994696
-15.0,15,8.040548
-15.0,15,8.046014
-15.0,15,8.094474
-17.0,17,8.100953
-15.0,15,8.154345
-15.0,15,8.159757
-15.0,15,8.164953
-15.0,15,8.220206
-15.0,15,8.22536
