#{"t_start": 1709585892.5129828, "env_id": "FrozenLake-v1"}
r,l,t
0.0,4,0.154046
0.0,11,0.158314
0.0,2,0.159118
0.0,23,0.212943
0.0,7,0.215902
0.0,5,0.217891
0.0,6,0.220316
0.0,9,0.274627
0.0,7,0.279855
0.0,8,0.282615
0.0,9,0.285702
0.0,11,0.330905
0.0,4,0.332405
0.0,4,0.333826
0.0,5,0.335631
0.0,12,0.339979
0.0,11,0.385449
0.0,14,0.390473
0.0,6,0.392629
0.0,6,0.435025
0.0,26,0.44461
0.0,13,0.488363
0.0,14,0.493572
0.0,10,0.542897
0.0,8,0.546093
0.0,7,0.548738
0.0,30,0.602715
0.0,9,0.606071
0.0,17,0.654185
1.0,6,0.656755
0.0,29,0.710061
0.0,18,0.717305
0.0,6,0.761387
0.0,6,0.763804
0.0,2,0.764752
0.0,11,0.769213
0.0,3,0.770437
0.0,6,0.812853
0.0,7,0.815998
0.0,7,0.81897
0.0,6,0.821451
0.0,2,0.822219
0.0,7,0.825175
0.0,21,0.875794
0.0,5,0.877939
0.0,31,0.932014
0.0,18,0.97979
0.0,18,0.986981
0.0,17,1.034921
0.0,5,1.03676
0.0,17,1.084867
0.0,5,1.08695
0.0,20,1.094734
0.0,11,1.142615
0.0,4,1.144168
0.0,16,1.150176
0.0,5,1.152028
0.0,19,1.201607
0.0,9,1.204677
0.0,13,1.253225
0.0,6,1.255442
0.0,11,1.259181
0.0,30,1.312216
1.0,14,1.356457
0.0,4,1.357845
0.0,7,1.360285
0.0,5,1.362203
0.0,19,1.410489
0.0,22,1.417998
0.0,4,1.478083
0.0,5,1.479921
0.0,100,1.644713
0.0,26,1.700259
1.0,51,1.759302
1.0,6,1.76161
0.0,18,1.808916
0.0,20,1.856003
0.0,11,1.860171
0.0,20,1.90912
0.0,20,1.916575
1.0,60,2.01951
1.0,15,2.068285
0.0,20,2.076102
0.0,29,2.129229
0.0,14,2.175939
0.0,5,2.178
1.0,20,2.185286
0.0,11,2.233467
1.0,22,2.241574
1.0,28,2.294348
0.0,11,2.342919
0.0,5,2.344856
0.0,9,2.348036
0.0,60,2.459099
0.0,20,2.46556
0.0,60,2.569605
0.0,33,2.623825
0.0,11,2.669747
0.0,17,2.676542
0.0,60,2.781521
0.0,28,2.833031
0.0,82,2.989499
1.0,10,2.993366
0.0,14,2.998565
0.0,6,3.041976
0.0,39,3.099677
1.0,29,3.152252
1.0,37,3.207136
1.0,39,3.26423
0.0,9,3.267559
0.0,100,3.433564
1.0,25,3.481893
1.0,27,3.531115
1.0,42,3.590033
0.0,43,3.706211
0.0,100,3.866835
0.0,12,3.871499
1.0,16,3.91853
1.0,41,3.974916
1.0,41,4.02974
0.0,100,4.189724
0.0,79,4.365312
1.0,22,4.416341
0.0,41,4.470157
0.0,73,4.58855
1.0,10,4.591917
0.0,48,4.687187
0.0,27,4.736407
0.0,100,4.899227
0.0,26,4.949434
0.0,30,5.001511
0.0,92,5.16194
0.0,26,5.171011
0.0,59,5.27844
1.0,71,5.382873
0.0,9,5.429805
1.0,46,5.486874
0.0,63,5.590846
0.0,10,5.594805
0.0,42,5.693429
1.0,29,5.748013
1.0,25,5.756664
1.0,29,5.809522
1.0,20,5.859119
1.0,12,5.863574
0.0,35,5.921639
0.0,39,6.020162
0.0,20,6.02776
