#{"t_start": 1709584978.641116, "env_id": "CliffWalking-v0"}
r,l,t
-41984.0,5156,29.909932
-2492.0,512,33.711399
-422.0,224,35.591446
-411.0,312,37.477033
-234.0,135,37.506422
-661.0,364,41.037083
-419.0,221,42.825895
-670.0,175,42.865879
-176.0,77,44.670367
-13.0,13,44.673148
-15.0,15,44.676397
-17.0,17,44.679869
-115.0,16,44.683171
-129.0,30,44.689644
-15.0,15,44.692808
-15.0,15,44.696362
-13.0,13,44.699696
-17.0,17,44.704244
-13.0,13,44.707476
-120.0,21,44.713667
-14.0,14,44.717899
-13.0,13,44.721805
-120.0,21,44.727739
-13.0,13,44.731841
-137.0,38,46.523755
-17.0,17,46.527404
-17.0,17,46.531155
-16.0,16,46.534044
-17.0,17,46.538068
-122.0,23,46.543984
-15.0,15,46.548163
-17.0,17,46.553274
-15.0,15,46.559723
-17.0,17,46.56323
-129.0,30,46.569868
-17.0,17,46.574523
-15.0,15,46.578905
-115.0,16,48.347257
-15.0,15,48.350306
-13.0,13,48.353923
-126.0,27,48.359873
-13.0,13,48.362864
-120.0,21,48.369879
-13.0,13,48.375568
-120.0,21,48.380294
-15.0,15,48.383286
-115.0,16,48.387091
-15.0,15,48.39085
-15.0,15,48.394658
-13.0,13,48.398861
-13.0,13,48.404678
-13.0,13,48.408928
-13.0,13,48.412398
-13.0,13,50.083233
-14.0,14,50.086137
-116.0,17,50.090649
-15.0,15,50.095302
-13.0,13,50.100506
-13.0,13,50.105028
-13.0,13,50.108423
-13.0,13,50.111892
-13.0,13,50.115704
-13.0,13,50.119019
-13.0,13,50.122084
-15.0,15,50.12585
-119.0,20,50.130555
-13.0,13,50.133801
-13.0,13,50.137557
-14.0,14,50.142911
-13.0,13,50.147135
-13.0,13,50.150951
-15.0,15,51.863209
-13.0,13,51.866896
-14.0,14,51.870848
-13.0,13,51.87409
-14.0,14,51.877349
-126.0,27,51.884778
-13.0,13,51.888302
-13.0,13,51.892164
-13.0,13,51.895463
-124.0,25,51.902304
-13.0,13,51.905818
-13.0,13,51.908912
-13.0,13,51.912482
-13.0,13,51.916727
-13.0,13,51.920546
-116.0,17,51.924969
-13.0,13,51.928319
-13.0,13,51.932666
-69.0,69,53.698762
-83.0,83,53.721234
-173.0,74,53.740659
-47.0,47,55.482419
-451.0,154,55.522964
-259.0,160,57.213277
-56.0,56,57.228543
-193.0,193,59.051546
-307.0,208,60.829914
-15.0,15,60.833105
-15.0,15,60.83653
-15.0,15,60.839911
-17.0,17,60.845037
-15.0,15,60.849659
-15.0,15,60.853927
-15.0,15,60.857482
-17.0,17,60.861673
-116.0,116,62.695888
-18.0,18,62.699719
-85.0,85,62.719963
-57.0,57,62.735597
-300.0,201,64.689306
-131.0,131,64.72337
-27.0,27,66.575094
-75.0,75,66.596177
-72.0,72,66.61628
-103.0,103,68.455263
-158.0,158,68.495138
-99.0,99,70.305649
-13.0,13,70.308557
-117.0,18,70.312658
-15.0,15,70.317255
-13.0,13,70.32071
-13.0,13,70.324037
-13.0,13,70.328636
-13.0,13,70.333612
-117.0,18,70.338496
-13.0,13,70.341439
-13.0,13,70.344688
-13.0,13,70.348121
-113.0,113,72.136954
-33.0,33,72.143781
-123.0,123,72.171874
-51.0,51,72.185291
-294.0,294,75.712457
-516.0,516,79.125995
-255.0,255,80.990104
-259.0,259,82.801239
-33.0,33,82.80889
-36.0,36,82.818124
-28.0,28,82.826202
-227.0,227,84.686766
-166.0,166,84.724056
-79.0,79,86.476122
-122.0,122,86.501323
-75.0,75,88.293647
-15.0,15,88.296943
-17.0,17,88.300621
-15.0,15,88.303751
-17.0,17,88.307766
-15.0,15,88.31202
-15.0,15,88.316006
-17.0,17,88.320327
-15.0,15,88.323914
-17.0,17,88.327693
-16.0,16,88.331244
-15.0,15,88.33484
-15.0,15,88.338693
-16.0,16,88.343346
-15.0,15,88.346844
-15.0,15,88.349867
-17.0,17,90.19115
-367.0,169,90.229092
-31.0,31,90.236511
-33.0,33,90.244541
-19.0,19,92.01697
-13.0,13,92.019933
-13.0,13,92.023022
-13.0,13,92.026428
-13.0,13,92.030112
-13.0,13,92.03405
-13.0,13,92.037817
-117.0,18,92.043289
-13.0,13,92.047281
-15.0,15,92.050909
-13.0,13,92.05501
-13.0,13,92.058658
-13.0,13,92.068714
-14.0,14,92.07765
-13.0,13,92.087062
-13.0,13,92.095104
-13.0,13,92.103824
-121.0,22,92.111041
-13.0,13,92.115187
-122.0,23,93.911825
-17.0,17,93.916188
-13.0,13,93.919149
-13.0,13,93.92224
-118.0,19,93.926355
-13.0,13,93.929981
-117.0,18,93.93429
-13.0,13,93.938135
-123.0,24,93.943057
-118.0,19,93.947523
-13.0,13,93.950981
-117.0,18,93.954434
-13.0,13,93.957623
-13.0,13,93.961025
-116.0,17,93.965747
-13.0,13,93.968878
-13.0,13,95.740334
-13.0,13,95.743972
-13.0,13,95.746882
-13.0,13,95.749875
-15.0,15,95.754594
-13.0,13,95.758983
-13.0,13,95.762367
-13.0,13,95.765697
-14.0,14,95.768709
-13.0,13,95.771715
-13.0,13,95.775001
-120.0,21,95.779803
-15.0,15,95.783733
-13.0,13,95.787159
-13.0,13,95.790921
-13.0,13,95.797574
-116.0,17,95.802094
-225.0,27,97.535734
-126.0,27,97.541188
-13.0,13,97.544257
-13.0,13,97.547098
-13.0,13,97.550098
-17.0,17,97.553983
-13.0,13,97.557923
-13.0,13,97.560843
-13.0,13,97.56429
-15.0,15,97.56795
-13.0,13,97.571683
-15.0,15,97.575289
-13.0,13,97.579045
-13.0,13,97.584209
-13.0,13,97.588119
-118.0,19,97.594049
-15.0,15,97.598431
-13.0,13,99.464733
-13.0,13,99.467699
-13.0,13,99.47051
-13.0,13,99.473963
-15.0,15,99.477384
-123.0,24,99.482973
-15.0,15,99.487676
-13.0,13,99.491185
-15.0,15,99.495428
-15.0,15,99.498862
-13.0,13,99.502382
-13.0,13,99.505821
-13.0,13,99.509207
-13.0,13,99.512522
-13.0,13,99.516237
-16.0,16,99.520746
-13.0,13,99.52437
-13.0,13,99.527528
-13.0,13,101.409563
-17.0,17,101.413542
-13.0,13,101.416612
-13.0,13,101.42005
-13.0,13,101.423462
-126.0,27,101.432072
-126.0,27,101.438357
-15.0,15,101.442238
-13.0,13,101.445853
-13.0,13,101.449827
-13.0,13,101.456956
