#{"t_start": 1709585915.4082618, "env_id": "FrozenLake-v1"}
r,l,t
0.0,9,0.144371
0.0,25,0.147674
0.0,11,0.148611
0.0,12,0.149527
0.0,2,0.150116
0.0,5,0.150846
0.0,10,0.151633
0.0,11,0.152515
0.0,13,0.153528
0.0,5,0.154161
0.0,12,0.155087
0.0,7,0.156003
0.0,5,0.156315
0.0,3,0.156444
0.0,2,0.156976
1.0,12,0.157877
0.0,12,0.158839
0.0,2,0.158939
0.0,9,0.159649
0.0,29,0.161529
0.0,2,0.161733
0.0,2,0.161853
0.0,2,0.162253
0.0,14,0.163037
0.0,3,0.163265
0.0,6,0.163819
0.0,5,0.164009
0.0,3,0.164463
0.0,4,0.164721
0.0,14,0.165832
0.0,15,0.167171
0.0,14,0.168108
0.0,4,0.168805
0.0,3,0.16895
0.0,21,0.170512
0.0,3,0.171
0.0,10,0.171971
0.0,6,0.17224
0.0,6,0.172902
0.0,2,0.173012
0.0,16,0.174575
0.0,4,0.174784
0.0,4,0.174965
0.0,17,0.176275
0.0,4,0.176636
0.0,10,0.177434
0.0,24,0.179478
0.0,8,0.180192
0.0,4,0.180535
0.0,5,0.181125
0.0,7,0.181429
0.0,6,0.182015
0.0,25,0.183742
0.0,3,0.184373
0.0,13,0.185213
0.0,20,0.186778
0.0,4,0.187134
0.0,3,0.187624
0.0,22,0.189172
0.0,2,0.189284
0.0,6,0.190096
0.0,15,0.191026
0.0,11,0.191746
0.0,3,0.192199
0.0,9,0.192722
0.0,24,0.19464
0.0,6,0.194893
0.0,3,0.195456
0.0,15,0.197159
0.0,13,0.199004
0.0,4,0.199247
0.0,28,0.201415
0.0,3,0.201718
0.0,9,0.202461
0.0,7,0.203116
0.0,6,0.203394
0.0,5,0.20418
0.0,8,0.204869
0.0,4,0.205069
0.0,2,0.205173
0.0,17,0.207025
0.0,5,0.207263
0.0,3,0.207765
0.0,8,0.208095
0.0,3,0.208736
0.0,5,0.208966
0.0,2,0.209069
0.0,5,0.209665
0.0,2,0.209894
0.0,5,0.210531
0.0,5,0.210759
0.0,14,0.212004
0.0,8,0.212481
0.0,6,0.21311
0.0,4,0.213301
0.0,4,0.213801
0.0,8,0.214703
0.0,2,0.214826
0.0,2,0.21493
0.0,9,0.215683
0.0,2,0.215916
0.0,2,0.216027
0.0,8,0.216757
0.0,2,0.216929
0.0,3,0.217634
0.0,2,0.217766
0.0,6,0.218018
0.0,6,0.218918
0.0,8,0.219958
0.0,7,0.220274
0.0,13,0.221492
0.0,7,0.221794
0.0,3,0.222427
0.0,2,0.222542
0.0,8,0.223242
0.0,12,0.224101
0.0,8,0.224895
0.0,6,0.22516
0.0,9,0.225881
0.0,13,0.227075
0.0,18,0.228385
0.0,3,0.228948
0.0,7,0.229248
1.0,8,0.229903
0.0,11,0.231837
0.0,7,0.23264
0.0,10,2.05689
0.0,9,2.05841
0.0,10,2.0597
0.0,6,2.060268
0.0,5,2.060834
0.0,4,2.061268
1.0,12,2.062517
0.0,15,2.06363
0.0,6,2.0642
0.0,6,2.064459
0.0,4,2.065104
0.0,5,2.065328
0.0,5,2.065851
0.0,12,2.06743
0.0,2,2.067674
0.0,4,2.068077
0.0,3,2.068931
0.0,7,2.069549
0.0,9,2.071363
0.0,4,2.072144
0.0,13,2.073508
0.0,15,2.07644
0.0,16,2.078297
0.0,6,2.078915
0.0,4,2.079108
0.0,6,2.079932
0.0,10,2.081093
0.0,6,2.081354
0.0,4,2.081841
0.0,6,2.082329
0.0,4,2.083353
0.0,2,2.083482
0.0,8,2.0844
0.0,3,2.08458
0.0,8,2.0855
0.0,9,2.086706
0.0,6,2.087198
0.0,5,3.87807
0.0,21,3.880351
0.0,5,3.880826
0.0,17,3.88236
0.0,6,3.883118
0.0,14,3.886072
0.0,3,3.886688
0.0,21,3.890057
0.0,11,3.891571
0.0,7,3.892045
0.0,3,3.892689
0.0,3,3.893102
0.0,17,3.895024
0.0,9,3.896426
0.0,15,3.898141
0.0,17,3.90028
0.0,4,3.900474
0.0,14,3.902384
0.0,3,3.902563
0.0,7,3.903159
0.0,6,3.903918
0.0,6,3.90473
0.0,10,3.906347
0.0,4,3.906986
0.0,7,3.908065
0.0,4,3.908655
