#{"t_start": 1709585474.6637945, "env_id": "Taxi-v3"}
r,l,t
-722.0,200,0.154916
-884.0,200,0.170165
-821.0,200,0.184603
-821.0,200,0.198622
-785.0,200,0.213799
-614.0,200,1.816833
-722.0,200,3.326872
-695.0,200,4.896218
-731.0,200,6.372234
-677.0,200,6.40342
-497.0,200,7.886731
-578.0,200,9.610488
-551.0,200,11.243924
-614.0,200,11.273717
-605.0,200,12.919241
-587.0,200,14.536962
-524.0,200,16.214197
-497.0,200,17.847867
-551.0,200,17.879927
-542.0,200,19.408633
-398.0,200,21.129378
-506.0,200,22.763416
-488.0,200,22.804347
-470.0,200,24.483778
-452.0,200,26.191495
-353.0,200,27.850102
-479.0,200,29.440748
-389.0,200,29.484706
-317.0,200,31.094156
-371.0,200,32.731418
-416.0,200,34.305577
-380.0,200,34.349749
-317.0,200,35.939955
-362.0,200,37.680561
-290.0,200,39.359663
-254.0,200,41.131872
-263.0,200,41.184417
-281.0,200,42.893036
-245.0,200,44.532027
-245.0,200,46.162512
-209.0,200,47.818053
-218.0,200,47.880569
-200.0,200,49.524662
-218.0,200,51.186601
-209.0,200,52.874492
-236.0,200,52.930267
-209.0,200,54.585113
-209.0,200,56.274998
-200.0,200,57.95689
-218.0,200,59.656132
-236.0,200,59.707841
-227.0,200,61.395936
-200.0,200,63.069485
-218.0,200,64.718218
-218.0,200,64.778079
-236.0,200,66.508328
-218.0,200,68.164236
-200.0,200,69.891982
-200.0,200,71.5361
-209.0,200,71.592392
-227.0,200,73.264951
-236.0,200,74.897105
-209.0,200,76.502789
-227.0,200,76.565116
-218.0,200,78.145369
-209.0,200,79.932186
-245.0,200,81.567846
-218.0,200,83.159204
-227.0,200,83.233349
-200.0,200,84.817125
-227.0,200,86.469028
-227.0,200,88.050541
-209.0,200,89.728595
-218.0,200,89.783225
-227.0,200,91.470394
-245.0,200,93.130636
-209.0,200,94.786424
-218.0,200,94.843946
-227.0,200,96.509159
-254.0,200,98.149159
-227.0,200,99.850368
-227.0,200,101.463995
-227.0,200,101.519567
-245.0,200,103.259618
-236.0,200,104.907244
-227.0,200,106.60733
-245.0,200,106.654506
-245.0,200,108.228791
-227.0,200,109.866237
-209.0,200,111.535416
-200.0,200,113.225896
-227.0,200,113.279948
-236.0,200,114.892901
-227.0,200,116.533802
-209.0,200,118.141034
-209.0,200,118.194214
-227.0,200,119.837522
-227.0,200,121.491434
-236.0,200,123.115587
-218.0,200,124.802141
-209.0,200,124.859762
-209.0,200,126.584001
-209.0,200,128.292132
-218.0,200,129.934218
-200.0,200,131.588198
-236.0,200,131.640322
-227.0,200,133.208347
-209.0,200,134.934827
-200.0,200,136.729825
-245.0,200,136.778214
-236.0,200,138.368336
-209.0,200,140.057842
-245.0,200,141.755871
-227.0,200,143.484367
-236.0,200,143.537481
-218.0,200,145.151867
-218.0,200,146.835895
-227.0,200,148.463185
-245.0,200,148.51704
-218.0,200,150.166138
-263.0,200,151.826274
-227.0,200,153.515157
-227.0,200,155.088395
-227.0,200,155.138983
-245.0,200,156.822387
-209.0,200,158.392287
-218.0,200,160.098295
-236.0,200,160.157037
-236.0,200,161.73539
-236.0,200,163.36695
-227.0,200,164.987571
-245.0,200,166.552412
-218.0,200,166.612083
-227.0,200,168.189593
-227.0,200,169.781848
-227.0,200,171.443614
-218.0,200,173.210351
-227.0,200,173.259864
-227.0,200,174.901767
-254.0,200,176.56562
-218.0,200,178.251475
-236.0,200,178.305017
-227.0,200,179.978973
-209.0,200,181.59818
